48	0.0000	0.2438
71	0.8185	0.2729
69	1.0914	0.2031
67	1.3642	0.2728
65	1.6370	0.5805
67	2.4555	0.2729
69	2.7284	0.1857
72	3.0012	0.2728
71	3.2740	0.4528
69	4.0925	0.1858
67	4.3654	0.2728
65	4.6382	0.2728
64	4.9110	0.4238
55	5.4567	0.5457
57	6.0024	0.4818
0	6.4842	0.8823
67	7.3665	0.2729
65	7.6394	0.2728
64	7.9122	0.2729
62	8.1851	0.3192
64	9.0036	0.2728
65	9.2764	0.2728
67	9.5492	0.2729
50	9.8221	0.4702
53	10.6406	0.2728
64	10.9134	0.2728
62	11.1862	0.2729
48	11.4591	1.0913
49	12.5504	0.1742
62	13.0961	0.1451
69	13.3631	0.1509
69	13.6359	0.1858
55	14.7331	0.4121
53	15.2787	0.3890
71	15.8186	0.4528
50	16.3701	0.2612
52	17.4556	0.5515
48	18.0071	1.0855
47	19.0926	0.5457
60	19.6383	0.2728
48	19.9111	0.2729
65	20.1840	0.3250
50	20.7296	0.5457
0	21.2753	0.5457
70	21.8210	0.5456
0	22.3666	0.5457
65	22.9123	0.5457
64	23.4580	0.4005
55	24.0036	0.4761
64	24.5493	0.3309
64	25.0950	0.4121
71	25.6407	0.3947
48	26.1863	0.2148
71	27.0048	0.2206
69	27.2719	0.1973
67	27.5447	0.2728
65	27.8175	0.5805
67	28.6360	0.2729
69	28.9089	0.2206
72	29.1817	0.2786
71	29.4603	0.4412
69	30.2730	0.1858
67	30.5459	0.2728
65	30.8187	0.2728
64	31.0915	0.3367
55	31.6372	0.5457
57	32.1829	0.4644
0	32.6473	0.8997
67	33.5470	0.2729
65	33.8199	0.2728
64	34.0927	0.2729
62	34.3656	0.2554
64	35.1841	0.2728
65	35.4569	0.2728
67	35.7297	0.2729
50	36.0026	0.4353
53	36.8211	0.2728
64	37.0939	0.2728
62	37.3667	0.2729
48	37.6396	1.0913
49	38.7309	0.1509
62	39.2766	0.2728
69	39.5494	0.2032
69	39.8222	0.2032
0	40.0254	1.4338
53	41.4592	0.5457
53	42.0049	0.4702
55	42.5506	0.3483
62	43.0963	0.4121
64	43.6419	0.4354
67	44.1876	1.0855
68	45.2731	0.5515
50	45.8246	0.2670
0	46.0916	0.2729
60	46.3645	0.3657
0	46.7302	1.2713
60	48.0015	0.4760
0	48.4775	0.6153
48	49.0928	0.5457
52	49.6385	0.5456
55	50.1841	0.3309
48	50.7298	0.8359
