60	0.0000	0.0580
60	0.0580	0.0348
60	0.0928	0.5573
52	0.6501	1.0159
62	2.0201	0.2496
62	2.2697	0.1277
62	2.3974	0.1626
53	2.5600	0.5108
53	3.0708	0.2322
69	3.3030	0.1335
69	3.6455	0.0174
0	3.6629	0.3483
82	4.0112	0.0523
64	4.0635	0.0870
64	4.1505	0.6908
67	4.8413	0.2787
71	5.2186	0.2206
71	5.4392	0.0871
71	5.7701	0.0232
71	5.9210	0.0871
65	6.0081	0.0523
65	6.0604	0.0812
65	6.1416	0.4296
53	6.5712	1.0565
72	7.8599	0.1451
67	8.0050	0.0465
67	8.0515	0.2902
67	8.3417	0.1045
67	8.4462	0.2787
71	8.7249	0.2089
71	8.9338	0.1161
55	9.1196	0.1741
55	9.2937	0.0349
74	9.3286	0.2612
69	10.0136	0.0580
69	10.0716	0.0581
69	10.1297	0.1741
69	10.3038	0.6037
72	10.9075	0.0871
65	11.0759	0.2960
76	11.4358	0.1799
76	12.0279	0.4063
76	12.4342	0.0871
64	12.5213	0.1509
72	12.6722	0.0349
72	12.7071	0.3715
56	13.0786	0.2264
69	13.3050	0.2786
62	13.9900	0.0813
74	14.0713	0.0522
74	14.1235	0.1277
74	14.2512	0.0406
74	14.2918	0.0349
74	14.3267	0.1973
55	14.5240	0.1974
71	14.7214	0.6211
67	15.3425	0.1510
67	15.7257	0.2960
72	16.0217	0.1858
72	16.2075	0.1683
72	16.3758	0.3890
69	16.7648	0.3773
53	17.1421	0.4354
71	18.0244	0.1974
71	18.2218	0.3367
55	19.0693	0.5399
69	20.0156	0.0522
69	20.0678	0.0581
69	20.1259	1.4396
67	22.0531	0.2438
67	22.2969	0.2729
55	22.5698	1.0332
65	24.0094	0.0522
65	24.0616	0.0755
65	24.1371	0.6327
62	24.7698	0.1278
62	24.8976	0.7372
60	26.0063	0.0523
60	26.0586	0.0348
60	26.0934	1.2481
67	27.3415	0.1625
55	27.5679	2.4787
