0.069660	
60.000000	0.069660	0.127710	
60.000000	0.127710	0.162540	
60.000000	0.162540	0.719819	
52.000000	0.719819	1.735692	
62.000000	2.089796	2.339410	
62.000000	2.339410	2.467120	
62.000000	2.467120	2.629660	
53.000000	2.629660	3.140499	
53.000000	3.140499	3.372698	
69.000000	3.372698	3.506213	
69.000000	3.715193	3.732608	
4.080907	
82.000000	4.080907	4.133152	
64.000000	4.133152	4.220227	
64.000000	4.220227	4.911020	
67.000000	4.911020	5.189660	
71.000000	5.288345	5.508934	
71.000000	5.508934	5.596009	
71.000000	5.839819	5.863039	
71.000000	5.990748	6.077823	
65.000000	6.077823	6.130068	
65.000000	6.130068	6.211338	
65.000000	6.211338	6.640907	
53.000000	6.640907	7.697415	
72.000000	7.929615	8.074739	
67.000000	8.074739	8.121179	
67.000000	8.121179	8.411429	
67.000000	8.411429	8.515918	
67.000000	8.515918	8.794558	
71.000000	8.794558	9.003537	
71.000000	9.003537	9.119637	
55.000000	9.189297	9.363447	
55.000000	9.363447	9.398277	
74.000000	9.398277	9.659501	
69.000000	10.083265	10.141315	
69.000000	10.141315	10.199365	
69.000000	10.199365	10.373515	
69.000000	10.373515	10.977234	
72.000000	10.977234	11.064308	
65.000000	11.145578	11.441633	
76.000000	11.505488	11.685442	
76.000000	12.097596	12.503946	
76.000000	12.503946	12.591020	
64.000000	12.591020	12.741950	
72.000000	12.741950	12.776780	
72.000000	12.776780	13.148299	
56.000000	13.148299	13.374694	
69.000000	13.374694	13.653333	
62.000000	14.059683	14.140952	
74.000000	14.140952	14.193197	
74.000000	14.193197	14.320907	
74.000000	14.320907	14.361542	
74.000000	14.361542	14.396372	
74.000000	14.396372	14.593741	
55.000000	14.593741	14.791111	
71.000000	14.791111	15.412245	
67.000000	15.412245	15.563175	
67.000000	15.795374	16.091429	
72.000000	16.091429	16.277188	
72.000000	16.277188	16.445533	
72.000000	16.445533	16.834467	
69.000000	16.834467	17.211791	
53.000000	17.211791	17.647166	
71.000000	18.094150	18.291519	
71.000000	18.291519	18.628209	
55.000000	19.139048	19.678912	
69.000000	20.085261	20.137506	
69.000000	20.137506	20.195556	
69.000000	20.195556	21.635193	
67.000000	22.122812	22.366621	
67.000000	22.366621	22.639456	
55.000000	22.639456	23.672744	
65.000000	24.079093	24.131338	
65.000000	24.131338	24.206803	
65.000000	24.206803	24.839546	
62.000000	24.839546	24.967256	
62.000000	24.967256	25.704490	
60.000000	26.076009	26.128254	
60.000000	26.128254	26.163084	
60.000000	26.163084	27.411156	
67.000000	27.411156	27.573696	
55.000000	27.637551	30.116281	
67.000000	
